timestamp_actual,operation,operationCount
2015-09-16 02:20:00.000,scroll_down,815
2015-09-16 05:06:40.000,scroll_down,300
2015-09-16 05:06:40.000,target_clicked,12
2015-09-16 05:06:40.000,scroll_up,305
2015-09-16 07:53:20.000,scroll_down,113
2015-09-16 07:53:20.000,scroll_up,65
2015-09-16 19:00:00.000,target_clicked,27
2015-09-16 19:00:00.000,scroll_down,1838
2015-09-16 19:00:00.000,select,6
2015-09-16 19:00:00.000,scroll_up,548
2015-09-16 21:46:40.000,scroll_up,275
2015-09-16 21:46:40.000,scroll_down,1247
2015-09-16 21:46:40.000,target_clicked,6
2015-09-16 21:46:40.000,select,2
2015-09-17 03:20:00.000,scroll_down,39
2015-09-17 03:20:00.000,scroll_up,7
2015-09-17 06:06:40.000,scroll_up,71
2015-09-17 06:06:40.000,target_clicked,6
2015-09-17 06:06:40.000,select,2
2015-09-17 06:06:40.000,scroll_down,617
2015-09-17 17:13:20.000,scroll_down,708
2015-09-17 17:13:20.000,target_clicked,19
2015-09-17 17:13:20.000,scroll_up,293
2015-09-17 17:13:20.000,select,2
2015-09-17 20:00:00.000,scroll_down,1116
2015-09-17 20:00:00.000,scroll_up,153
2015-09-17 20:00:00.000,target_clicked,8
2015-09-17 22:46:40.000,target_clicked,17
2015-09-17 22:46:40.000,scroll_down,819
2015-09-17 22:46:40.000,scroll_up,388
2015-09-18 01:33:20.000,select,6
2015-09-18 01:33:20.000,scroll_up,42
2015-09-18 01:33:20.000,target_clicked,18
2015-09-18 01:33:20.000,scroll_down,1253
2015-09-18 04:20:00.000,scroll_up,487
2015-09-18 04:20:00.000,select,17
2015-09-18 04:20:00.000,target_clicked,47
2015-09-18 04:20:00.000,scroll_down,1117
2015-09-18 07:06:40.000,select,18
2015-09-18 07:06:40.000,scroll_up,1412
2015-09-18 07:06:40.000,scroll_down,5536
2015-09-18 07:06:40.000,target_clicked,125
2015-09-18 09:53:20.000,scroll_up,17
2015-09-18 09:53:20.000,scroll_down,472
2015-09-18 12:40:00.000,target_clicked,3
2015-09-18 12:40:00.000,scroll_down,31
2015-09-18 12:40:00.000,scroll_up,7
2015-09-18 15:26:40.000,scroll_down,220
2015-09-18 15:26:40.000,target_clicked,38
2015-09-18 15:26:40.000,select,13
2015-09-18 15:26:40.000,scroll_up,122
2015-09-18 18:13:20.000,scroll_down,1629
2015-09-18 18:13:20.000,scroll_up,295
2015-09-18 18:13:20.000,target_clicked,29
2015-09-18 18:13:20.000,select,4
2015-09-18 21:00:00.000,select,5
2015-09-18 21:00:00.000,target_clicked,33
2015-09-18 21:00:00.000,scroll_up,954
